epoch,train_loss,val_auc,seconds
0,0.6793536665439606,0.7208888888888889,73.8
1,0.5657269267141819,0.9140222222222222,68.8
2,0.44136604005098345,0.9180444444444444,68.7
3,0.3549591232612729,0.9652111111111111,71.2
4,0.1879941105172038,0.9823333333333333,70.1
5,0.1238706663120538,0.9826333333333334,69.6
6,0.10043172202492133,0.9885555555555555,70.1
7,0.10085593685216736,0.9831,70.5
8,0.0949337032000185,0.9907888888888889,69.1
9,0.10663321723061381,0.9816777777777778,68.8
10,0.08679417834882043,0.9802111111111111,70.7
11,0.12506011786591262,0.994,70.5
12,0.09131961969903932,0.9928444444444444,69.6
13,0.07337893875497685,0.9929111111111111,69.4
14,0.08392618459166261,0.9911555555555556,72.6
15,0.09158697216234123,0.9918,70.8
16,0.08432954421294926,0.9878777777777777,71.2
17,0.09664256888129842,0.9938888888888889,74.8
18,0.07880123250386321,0.9971222222222222,70.1
19,0.07572202891664048,0.9851555555555556,71.3
20,0.07841553609693103,0.9953111111111111,70.6
21,0.06314680291327636,0.9977666666666667,71.7
22,0.08182832856307215,0.9978888888888889,69.5
23,0.0564909513588226,0.9818666666666667,71.0
24,0.07631125747390569,0.9980222222222223,71.6
25,0.07050894207306638,0.9942222222222222,71.9
26,0.0643973750619759,0.9938333333333333,71.7
27,0.06472836713586673,0.9991111111111111,70.9
28,0.05893957355382648,0.9978,69.4
29,0.061864165475355816,0.9982666666666666,70.3
30,0.06039292438802262,0.9966,70.2
31,0.045085646973280456,0.9864666666666667,69.9
32,0.0825671263340395,0.9988444444444444,70.1
33,0.043508269185227884,0.9920888888888889,71.5
34,0.05944503818064669,0.9983111111111111,75.8
35,0.05491333695049478,0.9924,72.2
36,0.0575931026568236,0.9972,70.5
35,0.05636723650349023,0.9987,99.8
37,0.07130487702000658,0.9927111111111111,71.6
36,0.0632199019503914,0.9978111111111111,71.0
38,0.05810876511535865,0.9958222222222223,71.9
37,0.06741139273889445,0.9978666666666667,72.0
39,0.04813621439931146,0.9974666666666666,69.1
38,0.050751536825341746,0.9960888888888889,72.0
40,0.05272658110336492,0.9991111111111111,69.4
39,0.04590352138102129,0.9969111111111111,68.7
41,0.058031033649283005,0.995,71.1
40,0.06691276934364021,0.9983666666666666,69.4
42,0.0919271666934415,0.9991222222222222,73.4
41,0.05236893997405897,0.9971444444444445,70.7
42,0.057716875285784695,0.9993888888888889,74.0
43,0.036207371712612325,0.9959666666666667,70.2
44,0.04683747955943828,0.9994222222222222,70.5
45,0.04020466571331397,0.9911222222222222,70.7
46,0.031383691940798875,0.9995333333333334,71.1
47,0.018708383612969403,0.9999777777777777,70.7
48,0.012369780374298691,0.9995222222222222,71.9
49,0.009660962935157532,1.0,68.9
50,0.004614783119200425,0.9999888888888889,70.4
51,0.017768794008706405,0.9999666666666667,70.7
